game_name,win_date,jackpot
Mega Millions,10/14/2022,494000000
Mega Millions,7/29/2022,1337000000
Mega Millions,4/15/2022,20000000
Mega Millions,4/12/2022,106000000
Mega Millions,3/8/2022,126000000
Mega Millions,1/28/2022,421000000
Mega Millions,10/22/2021,108000000
Mega Millions,9/21/2021,432000000
Mega Millions,6/8/2021,56000000
Mega Millions,5/21/2021,515000000
Mega Millions,2/16/2021,96000000
Mega Millions,1/22/2021,1000000000
Mega Millions,9/15/2020,119000000
Mega Millions,7/31/2020,22000000
Mega Millions,7/24/2020,124000000
Mega Millions,6/9/2020,410000000
Mega Millions,2/11/2020,202000000
Mega Millions,12/17/2019,372000000
Mega Millions,9/24/2019,227000000
Mega Millions,7/23/2019,168000000
Mega Millions,6/7/2019,530000000
Mega Millions,3/12/2019,50000000
Mega Millions,3/1/2019,267000000
Mega Millions,1/1/2019,425000000
Mega Millions,10/23/2018,1537000000
Mega Millions,7/24/2018,522000000
Mega Millions,5/4/2018,143000000
Mega Millions,3/30/2018,521000000
Mega Millions,1/5/2018,450000000
Mega Millions,10/13/2017,43000000
Mega Millions,9/22/2017,104000000
Mega Millions,8/11/2017,393000000
Mega Millions,4/28/2017,61000000
Mega Millions,3/31/2017,174000000
Mega Millions,1/27/2017,188000000
Mega Millions,11/18/2016,82000000
Mega Millions,10/11/2016,49000000
Mega Millions,9/16/2016,133000000
Mega Millions,7/22/2016,15000000
Mega Millions,7/19/2016,25000000
Mega Millions,7/8/2016,540000000
Mega Millions,3/8/2016,157000000
Mega Millions,1/8/2016,165000000
Mega Millions,11/13/2015,200000000
Mega Millions,9/11/2015,106000000
Mega Millions,7/31/2015,25000000
Mega Millions,7/21/2015,152000000
Mega Millions,6/2/2015,260000000
Mega Millions,3/24/2015,59000000
Mega Millions,2/27/2015,127000000
Mega Millions,1/16/2015,270000000
Mega Millions,11/4/2014,321000000
Mega Millions,8/22/2014,180000000
Mega Millions,6/27/2014,33000000
Mega Millions,6/13/2014,66000000
Mega Millions,5/20/2014,149000000
Mega Millions,4/4/2014,30000000
Mega Millions,3/25/2014,20000000
Mega Millions,3/18/2014,400000000
Mega Millions,1/3/2014,61000000
Mega Millions,12/17/2013,636000000
Mega Millions,10/1/2013,189000000
Mega Millions,7/26/2013,19000000
Mega Millions,7/16/2013,20000000
Mega Millions,7/5/2013,79000000
Mega Millions,5/31/2013,30000000
Mega Millions,5/17/2013,190000000
Mega Millions,3/12/2013,41000000
Mega Millions,2/19/2013,26000000
Mega Millions,2/5/2013,19000000
Mega Millions,1/25/2013,89000000
Mega Millions,12/14/2012,35000000
Mega Millions,11/27/2012,49000000
Mega Millions,11/2/2012,32000000
Mega Millions,10/16/2012,61000000
Mega Millions,9/18/2012,15000000
Mega Millions,9/11/2012,120000000
Mega Millions,7/27/2012,52000000
Mega Millions,7/3/2012,86000000
Mega Millions,5/29/2012,32000000
Mega Millions,5/15/2012,25000000
Mega Millions,5/4/2012,118000000
Mega Millions,3/30/2012,640000000
Mega Millions,1/24/2012,71000000
