game_name,win_date,jackpot
Powerball,2/11/2012,336400000
Powerball,2/25/2012,70000000
Powerball,3/7/2012,60000000
Powerball,3/21/2012,70000000
Powerball,4/25/2012,172700000
Powerball,6/13/2012,241000000
Powerball,6/23/2012,60000000
Powerball,8/15/2012,337000000
Powerball,9/26/2012,202100000
Powerball,10/3/2012,50000000
Powerball,11/28/2012,587500000
Powerball,12/5/2012,50000000
Powerball,12/12/2012,50000000
Powerball,12/19/2012,50000000
Powerball,12/26/2012,50000000
Powerball,2/6/2013,217200000
Powerball,3/23/2013,338300000
Powerball,3/30/2013,50000000
Powerball,5/18/2013,590500000
Powerball,5/25/2013,50000000
Powerball,5/29/2013,40000000
Powerball,6/22/2013,131500000
Powerball,8/7/2013,448400000
Powerball,9/18/2013,399400000
Powerball,10/23/2013,213400000
Powerball,11/16/2013,130300000
Powerball,12/11/2013,122900000
Powerball,12/25/2013,71500000
Powerball,2/19/2014,425300000
Powerball,3/1/2014,60000000
Powerball,3/22/2014,96500000
Powerball,4/23/2014,148800000
Powerball,6/11/2014,259800000
Powerball,7/9/2014,124900000
Powerball,7/19/2014,60000000
Powerball,8/9/2014,90000000
Powerball,9/24/2014,228500000
Powerball,11/8/2014,202600000
Powerball,11/29/2014,90000000
Powerball,2/11/2015,564100000
Powerball,3/14/2015,136000000
Powerball,3/21/2015,50000000
Powerball,3/25/2015,40000000
Powerball,4/11/2015,80000000
Powerball,4/18/2015,50000000
Powerball,6/3/2015,188900000
Powerball,6/20/2015,80000000
Powerball,7/4/2015,70000000
Powerball,8/1/2015,110000000
Powerball,9/30/2015,310500000
Powerball,11/4/2015,144100000
Powerball,1/13/2016,1586400000
Powerball,3/2/2016,291400000
Powerball,5/7/2016,429600000
Powerball,7/30/2016,487000000
Powerball,9/17/2016,246800000
Powerball,11/26/2016,420900000
Powerball,12/17/2016,121600000
Powerball,2/22/2017,435300000
Powerball,3/22/2017,156200000
Powerball,4/1/2017,60000000
Powerball,6/10/2017,447800000
Powerball,8/23/2017,758700000
Powerball,9/16/2017,133200000
Powerball,10/25/2017,191100000
Powerball,1/6/2018,559700000
Powerball,3/17/2018,456700000
Powerball,3/24/2018,55900000
Powerball,5/19/2018,315300000
Powerball,6/20/2018,150400000
Powerball,8/11/2018,245600000
Powerball,10/27/2018,687800000
Powerball,12/26/2018,298300000
Powerball,3/27/2019,768400000
Powerball,6/1/2019,344600000
Powerball,7/13/2019,198000000
Powerball,8/17/2019,148000000
Powerball,9/4/2019,80000000
Powerball,9/21/2019,80000000
Powerball,11/2/2019,150000000
Powerball,1/29/2020,396900000
Powerball,2/12/2020,70000000
Powerball,4/8/2020,190000000
Powerball,6/3/2020,136400000
Powerball,6/10/2020,22000000
Powerball,8/12/2020,168500000
Powerball,9/16/2020,94800000
Powerball,1/20/2021,731100000
Powerball,1/23/2021,23200000
Powerball,1/30/2021,33200000
Powerball,3/27/2021,235400000
Powerball,6/5/2021,285600000
Powerball,10/4/2021,699800000
Powerball,1/5/2022,632600000
Powerball,2/14/2022,185300000
Powerball,4/27/2022,473100000
Powerball,6/29/2022,366700000
Powerball,8/3/2022,206900000
